epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,855.829,1.06284,1.72416,0.79328,1.13462,0.6884,0.60697,0.64016,0.38326,0.70326,0.62687,0.65296,0.36125,1.52313,2.90137,1.34159,1.47828,0.0014192,0.0014192,0.0014192
46,874.902,1.07132,1.73248,0.80017,1.1475,0.6787,0.59903,0.63095,0.36767,0.70022,0.61692,0.66726,0.35018,1.56914,2.82653,1.31095,1.50145,0.001406,0.001406,0.001406
47,893.635,1.05145,1.70326,0.808,1.14447,0.66725,0.66169,0.67001,0.39302,0.74596,0.63184,0.69183,0.36954,1.55535,2.81571,1.17818,1.5148,0.0013928,0.0013928,0.0013928
48,912.021,1.0548,1.6808,0.79972,1.1368,0.67251,0.65174,0.67123,0.41449,0.68845,0.63765,0.68186,0.3839,1.47111,2.51474,1.28986,1.44544,0.0013796,0.0013796,0.0013796
49,931.471,1.02501,1.6687,0.77694,1.1152,0.7555,0.61194,0.69398,0.40423,0.77191,0.61692,0.69194,0.38196,1.49831,2.56889,1.23128,1.41478,0.0013664,0.0013664,0.0013664
50,949.907,1.03289,1.65063,0.76248,1.13034,0.741,0.58706,0.67946,0.4097,0.81634,0.57497,0.71203,0.40127,1.46685,2.62262,1.22439,1.44223,0.0013532,0.0013532,0.0013532
51,968.134,1.00342,1.62815,0.73825,1.10158,0.66766,0.65672,0.67097,0.40062,0.71537,0.63771,0.68806,0.38627,1.48189,2.72693,1.22504,1.43377,0.00134,0.00134,0.00134
52,987.765,0.99888,1.59999,0.74123,1.11362,0.71344,0.51244,0.58201,0.35667,0.72798,0.52239,0.57272,0.32712,1.53645,2.79951,1.53391,1.50009,0.0013268,0.0013268,0.0013268
53,1005.78,1.03462,1.66286,0.76393,1.11733,0.71468,0.56716,0.63431,0.36537,0.70433,0.55721,0.62559,0.3452,1.50225,2.85216,1.38144,1.44187,0.0013136,0.0013136,0.0013136
54,1024.17,1.02561,1.63729,0.75402,1.12437,0.66223,0.67164,0.68512,0.4212,0.72971,0.62189,0.70349,0.4033,1.45994,2.8679,1.2324,1.43713,0.0013004,0.0013004,0.0013004
